,game_title,game_id,steam_appid,short_description,header_image,url
57,Space Pirates and Zombies,2778,107200.0,"Explore a randomly generated Galaxy populated with factions, enemies, missions, and items providing you with a unique experience each time you play.",https://steamcdn-a.akamaihd.net/steam/apps/107200/header.jpg?t=1552001940,https://store.steampowered.com/app/107200/Space_Pirates_and_Zombies/
58,Dying Light,989,239140.0,"First-person action survival game set in a post-apocalyptic open world overrun by flesh-hungry zombies. Roam a city devastated by a mysterious virus epidemic. Scavenge for supplies, craft weapons, and face hordes of the infected.",https://steamcdn-a.akamaihd.net/steam/apps/239140/header.jpg?t=1556201496,https://store.steampowered.com/app/239140/Dying_Light/
59,Just Cause 2,1634,8190.0,Dive into an adrenaline-fuelled free-roaming adventure with 400 square miles of rugged terrain and hundreds of weapons and vehicles.,https://steamcdn-a.akamaihd.net/steam/apps/8190/header.jpg?t=1555609982,https://store.steampowered.com/app/8190/Just_Cause_2/
61,Mad Max,1825,234140.0,"Play as Mad Max, a reluctant hero and survivor who wants nothing more than to leave the madness behind and find solace.",https://steamcdn-a.akamaihd.net/steam/apps/234140/header.jpg?t=1552496093,https://store.steampowered.com/app/234140/Mad_Max/
62,Portal 2,2259,620.0,The &quot;Perpetual Testing Initiative&quot; has been expanded to allow you to design co-op puzzles for you and your friends!,https://steamcdn-a.akamaihd.net/steam/apps/620/header.jpg?t=1512411524,https://store.steampowered.com/app/620/Portal_2/
65,RUNNING WITH RIFLES,2371,270150.0,"RUNNING WITH RIFLES is a top-down tactical shooter with open world RPG elements. In RWR, you join the ranks of an army as a common soldier, just like the thousands around you.",https://steamcdn-a.akamaihd.net/steam/apps/270150/header.jpg?t=1555410482,https://store.steampowered.com/app/270150/RUNNING_WITH_RIFLES/
68,Tropico 4,3305,57690.0,"The world is changing and Tropico is moving with the times - geographical powers rise and fall and the world market is dominated by new players with new demands and offers - and you, as El Presidente, face a whole new set of challenges.",https://steamcdn-a.akamaihd.net/steam/apps/57690/header.jpg?t=1535973552,https://store.steampowered.com/app/57690/Tropico_4/
69,Cave Story+,538,200900.0,"Run, jump, shoot, fly and explore your way through a massive action-adventure reminiscent of classic 8- and 16-bit games.",https://steamcdn-a.akamaihd.net/steam/apps/200900/header.jpg?t=1488657143,https://store.steampowered.com/app/200900/Cave_Story/
71,F.E.A.R.,1103,21090.0,Experience the original F.E.A.R. along with F.E.A.R. Extraction Point and F.E.A.R. Perseus Mandate. Available Now!,https://steamcdn-a.akamaihd.net/steam/apps/21090/header.jpg?t=1546365971,https://store.steampowered.com/app/21090/FEAR/
75,Saints Row IV,2554,206420.0,The US President must save the Earth from alien overlord Zinyak using an arsenal of superpowers and strange weapons in the wildest open world game ever.,https://steamcdn-a.akamaihd.net/steam/apps/206420/header.jpg?t=1533713017,https://store.steampowered.com/app/206420/Saints_Row_IV/
76,DayZ,777,221100.0,"The post-soviet country of Chernarus is struck by an unknown virus, turning the majority population into frenzied infected. Fighting over resources has bred a hostile mentality among survivors, driving what’s left of humanity to collapse. You are one of the few immune to the virus - how far will you go to survive?",https://steamcdn-a.akamaihd.net/steam/apps/221100/header.jpg?t=1547207880,https://store.steampowered.com/app/221100/DayZ/
77,Half-Life 2,1444,220.0,"1998. HALF-LIFE sends a shock through the game industry with its combination of pounding action and continuous, immersive storytelling. Valve's debut title wins more than 50 game-of-the-year awards on its way to being named ""Best PC Game Ever"" by PC Gamer, and launches a franchise with more than eight million retail units sold worldwide.",https://steamcdn-a.akamaihd.net/steam/apps/220/header.jpg?t=1541802014,https://store.steampowered.com/app/220/HalfLife_2/
78,Reassembly,2405,329130.0,"A spaceship building and universe-exploration game. Collect resources, expand and grow your fleet, and conquer your personal galaxy. Stellar ambience by Peaks.",https://steamcdn-a.akamaihd.net/steam/apps/329130/header.jpg?t=1478809453,https://store.steampowered.com/app/329130/Reassembly/
80,The Talos Principle,3160,257510.0,"The Talos Principle is a first-person puzzle game in the tradition of philosophical science fiction. Made by Croteam and written by Tom Jubert (FTL, The Swapper) and Jonas Kyratzes (The Sea Will Claim Everything).",https://steamcdn-a.akamaihd.net/steam/apps/257510/header.jpg?t=1555495583,https://store.steampowered.com/app/257510/The_Talos_Principle/
85,Gunpoint,1419,206190.0,Gunpoint is a stealth puzzle game that lets you rewire its levels to trick people. You play a freelance spy who takes jobs from his clients to break into high security buildings and steal sensitive data.,https://steamcdn-a.akamaihd.net/steam/apps/206190/header.jpg?t=1552391336,https://store.steampowered.com/app/206190/Gunpoint/
90,Overgrowth,2153,25000.0,"Feel like the star of a martial arts film in Overgrowth, as you jump, kick, throw, and slash your way to victory. Free the rabbits from their evil overlords in the main story, then play through the prequel story, and finally, try out nine years of mods developed by the community, or create your own!",https://steamcdn-a.akamaihd.net/steam/apps/25000/header.jpg?t=1513937582,https://store.steampowered.com/app/25000/Overgrowth/
96,Game Dev Tycoon,1303,239820.0,In Game Dev Tycoon you replay the history of the gaming industry by starting your own video game development company in the 80s. Create best selling games. Research new technologies and invent new game types. Become the leader of the market and gain worldwide fans.,https://steamcdn-a.akamaihd.net/steam/apps/239820/header.jpg?t=1541492715,https://store.steampowered.com/app/239820/Game_Dev_Tycoon/
97,Sniper Elite 3,2737,238090.0,"Sniper Elite 3 is a tactical third-person shooter that combines stealth, gameplay choice and genre-defining ballistics with huge, open levels and the exotic terrain of World War 2 North Africa.",https://steamcdn-a.akamaihd.net/steam/apps/238090/header.jpg?t=1553091240,https://store.steampowered.com/app/238090/Sniper_Elite_3/
98,Gratuitous Space Battles,1376,41800.0,"Who needs backstory? Who needs resource-gathering? Diplomacy is so last year. Gratuitous Space Battles cuts right to the chase of sci-fi strategy games, and deals with large, completely unjustified space battles between huge opposing space fleets.",https://steamcdn-a.akamaihd.net/steam/apps/41800/header.jpg?t=1478026207,https://store.steampowered.com/app/41800/Gratuitous_Space_Battles/
99,Rogue Legacy,2493,241600.0,"Rogue Legacy is a genealogical rogue-&quot;LITE&quot; where anyone can be a hero. Each time you die, your child will succeed you. Every child is unique. One child might be colorblind, another might have vertigo-- they could even be a dwarf. But that's OK, because no one is perfect, and you don't have to be to succeed.",https://steamcdn-a.akamaihd.net/steam/apps/241600/header.jpg?t=1532571897,https://store.steampowered.com/app/241600/Rogue_Legacy/
101,From Dust,1270,33460.0,Immerse yourself in a world as exotically beautiful as it is dangerous in this modern God-Game where Nature is the Star!,https://steamcdn-a.akamaihd.net/steam/apps/33460/header.jpg?t=1452181703,https://store.steampowered.com/app/33460/From_Dust/
103,Rivals of Aether,2476,383980.0,"RIVALS OF AETHER is an indie fighting game set in a world where warring civilizations summon the power of Fire, Water, Air, and Earth. Play with up to four players locally or up to two players online.",https://steamcdn-a.akamaihd.net/steam/apps/383980/header.jpg?t=1552731940,https://store.steampowered.com/app/383980/Rivals_of_Aether/
106,Nidhogg,2056,94400.0,"Nidhogg is the epic award-winning fencing tug-of-war, full of graceful acrobatics and clumsy stabs. IRL yelling and excitement may occur, in this ultimate two-player showdown of fast-paced fencing and melee attacks. Beware, advantages in Nidhogg are often fleeting, as new opponents continually spawn in your way.",https://steamcdn-a.akamaihd.net/steam/apps/94400/header.jpg?t=1543955209,https://store.steampowered.com/app/94400/Nidhogg/
108,Dishonored,885,205100.0,"Dishonored is an immersive first-person action game that casts you as a supernatural assassin driven by revenge. With Dishonored’s flexible combat system, creatively eliminate your targets as you combine the supernatural abilities, weapons and unusual gadgets at your disposal.",https://steamcdn-a.akamaihd.net/steam/apps/205100/header.jpg?t=1541465639,https://store.steampowered.com/app/205100/Dishonored/
111,Distance,890,233610.0,"Distance is an atmospheric racing platformer. Fusing futuristic arcade racing with parkour, survive a deadly, mysterious, neon-drenched city by jumping, rotating, and flying.",https://steamcdn-a.akamaihd.net/steam/apps/233610/header.jpg?t=1540971583,https://store.steampowered.com/app/233610/Distance/
112,Epic Battle Fantasy 4,1059,265610.0,"Epic Battle Fantasy 4 is a light-hearted turn-based RPG, heavily inspired by old classics like Final Fantasy and Golden Sun. You will battle through waves of adorable enemies, grow your characters, explore a diverse world, solve puzzles, and of course, save the world.",https://steamcdn-a.akamaihd.net/steam/apps/265610/header.jpg?t=1448767949,https://store.steampowered.com/app/265610/Epic_Battle_Fantasy_4/
114,Miasmata,1910,223510.0,"Miasmata is a first-person survival/adventure game, developed from the ground-up by brothers Joe and Bob Johnson. You play as Robert Hughes, a plague-stricken scientist on a journey to discover a cure. Your adventure begins on the shores of a remote and mysterious island.",https://steamcdn-a.akamaihd.net/steam/apps/223510/header.jpg?t=1447356877,https://store.steampowered.com/app/223510/Miasmata/
115,Dead Space,791,17470.0,"Only the Dead Survive. A massive deep-space mining ship goes dark after unearthing a strange artifact on a distant planet. Engineer Isaac Clarke embarks on the repair mission, only to uncover a nightmarish blood bath  the ship's crew horribly slaughtered and infected by alien scourge.",https://steamcdn-a.akamaihd.net/steam/apps/17470/header.jpg?t=1511287106,https://store.steampowered.com/app/17470/Dead_Space/
116,Hotline Miami,1530,219150.0,"Hotline Miami is a high-octane action game overflowing with raw brutality, hard-boiled gunplay and skull crushing close combat.",https://steamcdn-a.akamaihd.net/steam/apps/219150/header.jpg?t=1498680087,https://store.steampowered.com/app/219150/Hotline_Miami/
117,NOT A HERO,2006,274270.0,Professional assassin turned amateur campaign manager Steve is charged with cleaning up the city by an anthropomorphic rabbit and mayoral candidate from the future named BunnyLord.,https://steamcdn-a.akamaihd.net/steam/apps/274270/header.jpg?t=1546272142,https://store.steampowered.com/app/274270/NOT_A_HERO/
119,Crypt of the NecroDancer,705,247080.0,"Crypt of the NecroDancer is an award winning hardcore roguelike rhythm game. Move to the music and deliver beatdowns to the beat! Groove to the epic Danny Baranowsky soundtrack, or select songs from your own MP3 collection!",https://steamcdn-a.akamaihd.net/steam/apps/247080/header.jpg?t=1526421272,https://store.steampowered.com/app/247080/Crypt_of_the_NecroDancer/
120,Portal,2258,400.0,"Portal&trade; is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories, Portal has been called one of the most innovative new games on the horizon and will offer gamers hours of unique gameplay.",https://steamcdn-a.akamaihd.net/steam/apps/400/header.jpg?t=1512752294,https://store.steampowered.com/app/400/Portal/
123,SteamWorld Dig,2863,252410.0,"SteamWorld Dig is a platform mining adventure with strong Metroidvanian influences. Take the role of Rusty, a lone mining steambot, as he arrives at an old mining town in great need. Dig your way through the old earth, gaining riches while uncovering the ancient threat that lurks below...",https://steamcdn-a.akamaihd.net/steam/apps/252410/header.jpg?t=1528892915,https://store.steampowered.com/app/252410/SteamWorld_Dig/
124,Kairo,1641,233230.0,Enter the lost world of Kairo. Explore vast abandoned monuments. Bring strange and ancient machinery back to life. Slowly uncover the true purpose of Kairo and fulfil a great destiny.Kairo is an atmospheric 3D exploration and puzzle solving game.,https://steamcdn-a.akamaihd.net/steam/apps/233230/header.jpg?t=1447357504,https://store.steampowered.com/app/233230/Kairo/
126,The Binding of Isaac,3030,113200.0,Now 20% More Evil with the Free Halloween update!,https://steamcdn-a.akamaihd.net/steam/apps/113200/header.jpg?t=1447354527,https://store.steampowered.com/app/113200/The_Binding_of_Isaac/
129,Starpoint Gemini 2,2854,236150.0,"Captain your own space ship and roam the galaxy in 3D in this tactical space simulator with tons of RPG depth ! Space has never looked so inviting - but images can betray...It has been two years since the end of the second Gemini war, the situation in the wartorn system is further from resolution than ever.",https://steamcdn-a.akamaihd.net/steam/apps/236150/header.jpg?t=1552734066,https://store.steampowered.com/app/236150/Starpoint_Gemini_2/
